Shortcut,Action,Application,OS,Category,Description,Frequency
Alt+H,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+I,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+J,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+K,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+L,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+M,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+N,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+O,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+P,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+Q,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+R,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+S,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+T,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+U,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+V,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+W,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+X,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+Y,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+Z,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F1,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F2,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F3,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F4,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F5,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F6,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F7,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F8,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F9,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F10,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F11,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F12,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F13,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F14,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F15,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F16,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F17,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F18,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F19,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F20,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F21,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F22,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F23,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F24,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+0,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+1,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+2,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+3,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+4,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+5,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+6,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+7,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+8,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+9,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+A,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+B,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+C,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+D,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+E,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+G,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+H,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+I,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+J,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+K,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+L,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+M,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+N,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+O,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+P,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+Q,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+R,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+S,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+T,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+U,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+V,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+W,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+X,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+Y,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+Z,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F1,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F2,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F3,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F4,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F5,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F6,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F7,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F8,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F9,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F10,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F11,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F12,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F13,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F14,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F15,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F16,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F17,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F18,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F19,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F20,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F21,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F22,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F23,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+F24,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+0,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+1,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+2,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+3,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+4,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+5,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+6,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+7,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+8,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Shift+9,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+A,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+B,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+C,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+D,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+E,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+F,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+G,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+H,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+I,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+J,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+K,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+L,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+M,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+N,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+O,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+P,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+Q,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Cmd+R,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
